Genus,Host ,Group,Species name
Alphaendornavirus,Plants,"Plants, fungi and other",
Betachrysovirus,Fungi,"Plants, fungi and other",
Betapartitivirus,Fungi,"Plants, fungi and other",Cucurbitaria piceae virus 1
Chloriridovirus,Insects,Animals,
Deltapartitivirus,Plants,"Plants, fungi and other",Cinnamomum chago deltapartitivirus 1
Gammapolyomavirus,Animals (Birds),Animals,Gammapolyomavirus secanaria
Glossinavirus,Insects ,Animals,Glossina hytrosavirus
Lambdapapillomavirus,Animals (Cats and dogs),Animals,Lambdapapillomavirus 1
Lolavirus,Plants,"Plants, fungi and other",Lolium latent virus
Machlomovirus,Plants,"Plants, fungi and other",Maize chlorotic mottle virus
Potexvirus,Plants,"Plants, fungi and other","White clover mosaic virus, Pepino mosaic virus"
Tobamovirus,Plants,"Plants, fungi and other",
Unclassified Genomoviridae,Other,"Plants, fungi and other",family level
Unclassified Partitiviridae,Plants and fungi,"Plants, fungi and other",
Unclassified Parvoviridae,Animals,Animals,"Periparus ater parvoviridae sp., Motacilla cinerea parvo-like hybrid virus"
Unclassified Picornavirales,Insects,Animals,Varroa picorna-like virus
Unclassified Tombusviridae,Plants,"Plants, fungi and other",
Unclassified Totiviridae,Fungi and insect associated,"Plants, fungi and other",
Victorivirus,Fungi,"Plants, fungi and other",Ustilaginoidea virens RNA virus 5
Waikavirus,Plants,"Plants, fungi and other",Waikavirus RCaV1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,